total,pos,neg
"('wind', 4687)","('love', 1725)","('wind', 4635)"
"('humidity', 4669)","('like', 1432)","('humidity', 4628)"
"('barometer', 4659)","('good', 1267)","('barometer', 4621)"
"('falling', 4579)","('happy', 904)","('falling', 4538)"
"('temperature', 4456)","('great', 810)","('rain', 4394)"
"('rain', 4445)","('night', 685)","('temperature', 4384)"
"('slowly', 3335)","('thanks', 643)","('slowly', 3300)"
"('love', 1808)","('time', 632)","('fuck', 405)"
"('like', 1781)","('best', 621)","('like', 349)"
"('good', 1402)","('well', 538)","('home', 332)"
"('happy', 936)","('want', 532)","('shit', 311)"
"('time', 891)","('please', 502)","('people', 275)"
"('great', 840)","('thank', 490)","('time', 259)"
"('night', 832)","('know', 480)","('weather', 258)"
"('want', 759)","('friend', 467)","('cant', 245)"
"('know', 687)","('follow', 455)","('temp', 237)"
"('thanks', 666)","('amazing', 451)","('want', 227)"
"('best', 640)","('would', 379)","('know', 207)"
"('well', 636)","('really', 373)","('stop', 207)"
"('people', 629)","('hope', 370)","('hate', 205)"
"('cant', 612)","('cant', 367)","('miss', 203)"
"('home', 564)","('make', 362)","('make', 187)"
"('please', 556)","('back', 362)","('think', 185)"
"('make', 549)","('people', 354)","('never', 183)"
"('really', 542)","('look', 348)","('thing', 177)"
"('back', 530)","('beautiful', 346)","('really', 169)"
"('think', 526)","('think', 341)","('back', 168)"
"('friend', 511)","('haha', 334)","('going', 166)"
"('thank', 507)","('birthday', 333)","('still', 162)"
"('follow', 505)","('youre', 331)","('feel', 159)"
"('would', 500)","('life', 325)","('sleep', 157)"
"('going', 488)","('going', 322)","('fucking', 156)"
"('fuck', 485)","('better', 318)","('right', 154)"
"('youre', 484)","('need', 307)","('youre', 153)"
"('life', 469)","('yeah', 299)","('night', 147)"
"('look', 468)","('thing', 288)","('need', 145)"
"('thing', 465)","('still', 278)","('life', 144)"
"('amazing', 457)","('everyone', 275)","('sorry', 142)"
"('need', 452)","('nice', 270)","('good', 135)"
"('still', 440)","('awesome', 269)","('would', 121)"
"('feel', 405)","('work', 260)","('look', 120)"
"('hope', 404)","('pretty', 258)","('fire', 116)"
"('never', 391)","('feel', 246)","('come', 116)"
"('shit', 389)","('ever', 242)","('work', 115)"
"('work', 375)","('first', 242)","('bitch', 114)"
"('sleep', 372)","('always', 240)","('ever', 113)"
"('better', 370)","('could', 237)","('tired', 112)"
"('haha', 367)","('wish', 236)","('sick', 109)"
"('beautiful', 359)","('come', 233)","('hell', 108)"
"('ever', 355)","('home', 232)","('always', 106)"
