,Italian,Thai,French,Japanese,Lebanese,Spanish,Korean,Greek,Indian,Mexican,Chinese
0,pasta,curry,cuisine,sushi,Mediterranean,tapas,kimchi,Greek Cuisine,curry,burrito,Asian
1,gnocci,sukiyaki,Quiche Lorraine,salad,noticia,caldo,choy,grace,bhindi,menudo,Soto
2,pizza,noodle,gastronomy,sashimi,Arabic,paella,bulgogi,ambrosia,tandoori,taco,Oriental
3,mostaccioli,mulligatawny,foody,daikon,enim,salade,Xiao,gram,garam masala,Asada,Malay
4,lasagna,stir-fry,haute cuisine,tempura,Middle Eastern,gazpacho,bibimbap,gyro,samosa,enchilada,Chinese
5,tortellini,Egg Foo Yong,yucatecan,miso,bahar,torta,soup,lotus,poori,chicken sandwich,Moroccan
6,spaghetti,Fried Rice,culinary,nigiri,Moroccan,ceviche,congee,salad,chapati,fajita,African
7,breadsticks,ramen,Apicius,gnocchi,mollis,tartine,Fried Rice,nox,kofta,burgers,Halle
8,ziti,tofu,tapas,unagi,Gallego,seviche,sukiyaki,theobromine,biryani,fajitas,Thai
9,macaroni,teriyaki,haute,chirashi,paese,caponata,hoisin sauce,olive,momos,chalupa,neko
10,chicken cacciatore,congee,epicurean,maguro,laila,sangria,ramen,devil,lamb curry,chimichanga,Asia
11,gnocchi,tempura,gastropub,Bento,meu,minestrone,dim sum,quality,curry sauce,ceviche,Korean
12,meatballs,laksa,Nouvelle Cuisine,teriyaki,viverra,Quiche Lorraine,soba,give,paratha,quesadilla,Jap
13,bolognese,soy sauce,epicures,wonton soup,niente,cioppino,guisado,kabob,Gobi,hamburger,Siu
14,rigatoni,wonton soup,gastronome,soba,Arabia,osso buco,pho,meze,pakoras,queso,Occidental
15,stuffed peppers,eggrolls,eateries,seviche,Persian,roast lamb,adobo,aphrodisiac,chowmein,churros,Mediterranean
16,manicotti,soba,foodie,Maki,ligula,risotto,yakitori,order,chapatti,tamale,Melayu
17,focaccia,yakitori,gourmands,tartare,juga,ratatouille,Chow Mein,ate,tartare sauce,relleno,Kota
18,ravioli,chilli sauce,bistro,ceviche,kif,antipasti,daikon,pita,tikka,burger,Japanese
19,parmigiana,kueh,charcuterie,pepper steak,doce,calamari,pepper steak,cornucopia,Fried Rice,huaraches,kuda
20,meatloaf,soup,gourmet,calamari,risus,bruschetta,wonton soup,catastrophe,roti,carnitas,Kuro
21,braciola,shoyu,mixology,osso buco,Arabian,caprese,cuon,fenugreek,batata,chili,chua
22,garlic bread,rojak,brasserie,yakitori,Fringilla,appetizer,moo shu pork,epicurean,Aloo,gordita,Persian
23,meat loaf,kebab,andaluca,entrees,esto,croquette,wontons,galley,chutney,arroz con pollo,mollis
24,calzone,sushi,bistrot,Fried Rice,Mina,Blanquette De Veau,Egg Foo Yong,mask,vindaloo,nachos,chim
25,polenta,curry sauce,ristorante,dim sum,yg,crepes,bean curd,medallion,mulligatawny,guacamole,Cao
26,veal parmigiana,dim sum,chefs,sukiyaki,Vero,fajitas,tofu,oil,daal,huevos rancheros,Latin
27,cornmeal mush,biryani,oenological,tofu,Verano,saltimbocca,sushi,preserves,kedgeree,cheeseburger,gula
28,veal parmesan,Chow Mein,delicacies,carpaccio,metus,arroz con pollo,noodles,pan,korma,sandwich,Lolita
29,fettuccini,samosa,saucisson,Eggs Benedict,lill,oxtail,maguro,asphodel,poppadom,Reuben,European
30,Quiche Lorraine,moo shu pork,dining,shoyu,sommes,osso bucco,shoyu,ant,naan,torta,Indian
31,mashed potatoes,unagi,restaurants,bulgogi,ejemplo,primi,moo goo gai pan,cuke,rojak,eggroll,cun
32,Stromboli,stir fry,foodways,wasabi,Odio,bouillabaisse,dumplings,charity,Puri,flauta,Hungarian
33,bucatini,pho,degustation,Inari,Azul,salad,laksa,epicureanism,laksa,guisado,Kok
34,Salisbury Steak,dumpling,churrascaria,risotto,amb,meze,unagi,cyclops,kebabs,empanada,Cai
35,Chicken Kiev,vermicelli,sushi,filet,fresca,moules,seitan,ethnic,nasi,taqueria,egyptian
36,soup,lamb curry,chophouse,edamame,Novi,huevos rancheros,teriyaki,echinus,bhel,tostada,Punjabi
37,spaghetti sauce,bean curd,Nouvelle,noodles,holl,brochettes,veal parmigiana,Euryale,Pomfret,Chile Con Carne,luk
38,fettuccine,curry puff,Blanquette De Veau,Ahi,venir,relleno,eggrolls,flora,achar,tortillas,Jamaican
39,salad,chapati,meze,parmigiana,Bahrain,bacalao,Bento,Gaea,raita,frijoles,Filipino
